2025-09-12 18:19:51 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_setup_logging:944 - 实例 44b4b45d 日志配置完成 - 控制台输出 + 文件输出: /Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log
2025-09-12 18:19:53 | ERROR    | [global] | app.component.pipeline_executor_optimized:initialize:289 - 合约调用器初始化失败: when sending a str, it must be a hex string. Got: '{args.reserve}'
2025-09-12 18:19:53 | ERROR    | [global] | app.component.pipeline_executor_optimized:_initialize_components:986 - 组件初始化失败: step2 (contract_caller)
2025-09-12 18:19:53 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 15
2025-09-12 18:19:53 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 13
2025-09-12 18:19:53 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 12
2025-09-12 18:19:53 | INFO     | [global] | app.component.dict_mapper:__init__:29 - 字典映射器初始化完成 - 规则数量: 13
2025-09-12 18:19:53 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:643 - 字典映射器初始化成功: 创建了 4 个映射器
2025-09-12 18:19:53 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_initialize_components:984 - 组件初始化成功: step3 (dict_mapper)
2025-09-12 18:19:53 | INFO     | [global] | app.component.kafka_client:__init__:32 - Kafka客户端初始化 - 服务器: ['localhost:9092']
2025-09-12 18:19:53 | INFO     | [global] | app.component.kafka_client:init_producer:76 - Kafka生产者初始化成功
2025-09-12 18:19:53 | INFO     | [global] | app.component.pipeline_executor_optimized:initialize:729 - Kafka生产者初始化成功: localhost:9092
2025-09-12 18:19:53 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_initialize_components:984 - 组件初始化成功: step4 (kafka_producer)
2025-09-12 18:19:53 | INFO     | [global] | app.component.pipeline_executor_optimized:execute:141 - 启动事件监控...
2025-09-12 18:19:53 | INFO     | [global] | app.component.event_monitor:start_monitoring:195 - 开始监控合约事件 - 0x87870Bca3F3fD6335C3F4ce8392D69350B4fA4E2
2025-09-12 18:19:53 | INFO     | [global] | app.component.event_monitor:start_monitoring:206 - 从区块 23346342 开始监控
2025-09-12 18:19:53 | INFO     | [global] | app.component.event_monitor:_realtime_monitoring:219 - 启动实时监控模式
2025-09-12 18:19:53 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:19:56 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=29
2025-09-12 18:19:59 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:19:59 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=31
2025-09-12 18:20:02 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=32
2025-09-12 18:20:04 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:05 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=34
2025-09-12 18:20:08 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=35
2025-09-12 18:20:10 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:11 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=37
2025-09-12 18:20:14 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=38
2025-09-12 18:20:15 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:17 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=40
2025-09-12 18:20:20 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=41
2025-09-12 18:20:21 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:23 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=43
2025-09-12 18:20:26 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:26 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=45
2025-09-12 18:20:29 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=46
2025-09-12 18:20:31 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:32 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=48
2025-09-12 18:20:35 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=49
2025-09-12 18:20:37 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:38 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=51
2025-09-12 18:20:41 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=52
2025-09-12 18:20:42 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:44 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=54
2025-09-12 18:20:47 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=55
2025-09-12 18:20:48 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:50 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=57
2025-09-12 18:20:54 | ERROR    | [global] | app.component.event_monitor:_realtime_monitoring:239 - 实时监控出错: ('The abi for this contract contains no event definitions. ', 'Are you sure you provided the correct contract abi?')
2025-09-12 18:20:54 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=59
2025-09-12 18:20:56 | INFO     | [global] | app.services.pipeline_config_service:get_task_log:663 - 读取任务日志成功: task_id=64, log_path=/Users/a1-6/Desktop/PycharmProjects/chain-parser/chain-data-parser/logs/pipeline_1757560167_20250912_181950.log, returned_lines=60
2025-09-12 18:20:56 | INFO     | [global] | app.startup:shutdown_event:24 - 应用关闭中...
2025-09-12 18:20:56 | INFO     | [global] | app.services.task_monitor_service:_monitor_loop:147 - 任务监控守护进程被取消
2025-09-12 18:20:56 | INFO     | [global] | app.services.task_monitor_service:stop_monitoring:166 - 任务监控守护进程已停止
2025-09-12 18:20:56 | INFO     | [global] | app.services.task_monitor_service:shutdown_task_monitoring:201 - 任务监控系统已关闭
2025-09-12 18:20:56 | INFO     | [global] | app.startup:shutdown_event:29 - 应用关闭完成
2025-09-12 18:20:56 | INFO     | [global] | app.services.database_service:close:106 - 数据库连接已关闭
2025-09-12 18:20:56 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_cleanup_components:1084 - 组件清理完成: step1
2025-09-12 18:20:56 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_cleanup_components:1084 - 组件清理完成: step3
2025-09-12 18:20:56 | INFO     | [44b4b45d] | app.component.pipeline_executor_optimized:_cleanup_components:1084 - 组件清理完成: step4
